payment_method_id,user_id,payment_type,provider,masked_details,last_four_digits,token,status,is_default,registration_date,expiry_date,last_used,transactions_count,total_amount_processed,verification_status,country,issuer_bank,billing_address,cvv_verified,three_ds_enabled,failed_attempts,risk_score
11,2799,debit_card,Visa Debit,****6287,6287,13d23bb5-fefa-456c-ac54-6af525885127,inactive,False,2024-12-11 09:32:03,07/27,2024-10-26 09:32:03,20,1574.21,verified,MX,Davis LLC,"5415 Thomas Landing Suite 406, Port Melody, VA 18135",True,True,0,23.03
12,9537,debit_card,Visa Debit,****5713,5713,819b8bcb-174f-48a4-98fc-ffeaf303fc51,active,False,2024-08-27 09:32:03,05/29,2025-09-11 09:32:03,80,35969.24,verified,PE,Richard-Case,"USNS Kim, FPO AA 61897",True,True,0,57.47
13,4430,debit_card,Visa Debit,****6569,6569,8befd1e0-dac0-4b46-9f70-749e0b65dd33,active,False,2024-08-27 09:32:03,09/30,2025-09-01 09:32:03,102,48492.38,verified,MX,"Bird, Clarke and King","389 James Parks, South Joseph, NY 52498",False,False,0,58.98
14,9725,ewallet,Clip,lisamendez@example.net,,55f807e1-968d-4af2-8196-1a804fbdc375,active,False,2024-01-13 09:32:03,,2025-10-14 09:32:03,171,17230.85,verified,BR,,,,,0,92.65
15,9170,bank_transfer,PIX,****1684,1684,eb7af46c-b83e-47f2-9412-188b33230172,inactive,False,2025-04-09 09:32:03,,2025-01-29 09:32:03,30,1787.22,verified,BR,Jones LLC,,,,0,73.86
16,9545,bank_transfer,Transferencia,****1474,1474,743103bc-347a-4f56-87a1-08989e63bca5,active,True,2025-01-22 09:32:03,,2025-09-06 09:32:03,191,33339.17,verified,BR,Bruce-Baker,,,,0,70.57
17,8974,credit_card,American Express,****2083,2083,ae474807-b615-40e7-94fa-6f8066a461d1,active,False,2024-05-01 09:32:03,12/26,2025-10-15 09:32:03,89,12848.4,verified,AR,"Sawyer, Lopez and Jackson","790 Rachel Courts Apt. 461, Port Lindafurt, NY 02651",True,False,0,25.93
18,4412,bank_transfer,TEF,****4454,4454,5757fb00-c583-4495-bc3e-4339c3882566,active,False,2025-03-10 09:32:03,,2025-09-27 09:32:03,25,47466.8,pending,BR,"Kramer, Cruz and Daniels",,,,0,60.88
19,5468,credit_card,Visa,****4726,4726,17d26514-9caa-4ccc-b066-76606696daaf,active,True,2025-06-19 09:32:03,08/26,2025-09-23 09:32:03,137,43391.64,pending,CO,Maldonado-Poole,"5149 Eric Port Suite 244, Vaughnfurt, VI 47319",True,True,0,86.48
20,1678,credit_card,American Express,****9658,9658,991dc91d-5e7d-4609-a996-703949e704b7,active,False,2023-11-15 09:32:03,09/30,,170,38662.79,verified,BR,"Barrera, Knight and Tucker","039 Nancy Fort, Port Angela, NC 18789",True,False,0,31.51
21,5066,credit_card,Visa,****8564,8564,0740d5de-f2d6-4444-a02d-82bd4fe93622,inactive,True,2025-06-27 09:32:03,06/30,2025-06-05 09:32:03,14,4791.59,verified,BR,Hays Inc,"45343 Rodriguez Turnpike, Lake Rachel, GA 03792",True,True,0,76.88
22,4773,ewallet,PayPal,qbradford@example.net,,cf4f775a-6dd1-4110-a36e-bd4b2bcd4a23,active,False,2024-07-29 09:32:03,,2025-10-05 09:32:03,148,19250.42,verified,MX,,,,,0,98.51
23,3755,debit_card,Visa Debit,****2882,2882,d098702e-5a6f-4fe9-a2a5-d1235ad76648,expired,False,2025-01-13 09:32:03,09/25,2024-11-02 09:32:03,49,3162.71,verified,MX,"Hopkins, Morrison and Combs","05039 Jacqueline Crossing Apt. 689, East Alexis, NE 74957",False,True,0,94.82
24,2404,bank_transfer,SPEI,****9390,9390,c23b8d11-62da-4e2c-845b-90c726de77b1,active,True,2025-05-13 09:32:03,,2025-09-26 09:32:03,39,35805.87,verified,CL,Nelson PLC,,,,0,1.82
25,3522,ewallet,Clip,obriendonna@example.net,,82a116cf-1d7f-4c6c-b5bf-1fb756ed8469,inactive,False,2024-07-28 09:32:03,,2025-05-24 09:32:03,11,3104.27,verified,CL,,,,,0,68.93
26,3999,bank_transfer,PIX,****8555,8555,0aa9a37f-4c30-4ed3-9626-6b5576629423,inactive,False,2025-03-23 09:32:03,,2025-06-09 09:32:03,39,2726.35,verified,MX,Barnes-Lee,,,,0,87.64
27,5577,debit_card,Visa Debit,****3659,3659,8628acbd-61e2-4ebb-9c0b-ed021fd34c10,active,True,2024-02-02 09:32:03,05/29,2025-09-21 09:32:03,65,27493.88,verified,BR,Moore and Sons,"8904 Dawson Forks Apt. 248, East Daniel, OR 52445",True,True,0,6.65
28,6527,credit_card,Diners Club,****7061,7061,7c16cda2-e851-42f6-b77c-320be990506c,active,False,2023-11-06 09:32:03,12/27,2025-09-30 09:32:03,51,16280.16,verified,AR,Gonzalez Group,"79831 Padilla Gardens Apt. 956, East Amandaberg, OR 22406",True,True,0,33.19
29,7613,ewallet,Rappi Pay,akelley@example.com,,6641a979-bf96-4272-9c47-4a7e05b9f017,active,True,2024-08-04 09:32:03,,2025-09-23 09:32:03,15,42217.96,verified,AR,,,,,0,3.87
30,7256,credit_card,Mastercard,****3195,3195,8b7782bf-2d6b-44ce-b6e9-1d65f144aff8,active,False,2025-06-14 09:32:03,01/28,2025-09-10 09:32:03,22,17725.74,verified,CO,Williams-Henry,"08657 Tucker Springs Apt. 060, North Jonathan, NV 61750",True,True,0,82.84
31,6994,bank_transfer,Transferencia,****6097,6097,a0d7d25d-5ae4-4772-b7df-8a3e75cdacdd,active,False,2025-06-24 09:32:03,,2025-09-23 09:32:03,177,6264.49,verified,MX,Kennedy LLC,,,,0,50.03
32,1528,credit_card,Mastercard,****3063,3063,52018f7a-2575-4346-b802-9be4b07c72bf,active,False,2023-10-31 09:32:03,01/29,2025-10-07 09:32:03,86,5293.27,verified,PE,"Jackson, Thompson and Griffin","PSC 4507, Box 3074, APO AA 33682",True,True,0,94.81
33,9759,bank_transfer,PIX,****9114,9114,fe4b2fff-9567-4fa0-a9d8-d52c0c87d0a0,active,False,2024-06-13 09:32:03,,2025-09-27 09:32:03,72,45943.62,verified,MX,Myers Ltd,,,,0,90.33
34,2653,debit_card,Maestro,****2384,2384,8d98638f-f9f3-432e-b965-765cc9de1d94,active,False,2024-02-10 09:32:03,12/28,2025-10-22 09:32:03,193,6919.77,verified,BR,Smith-Green,"4058 Watkins Branch, Lake Karenside, OK 18488",True,True,0,33.61
35,9351,ewallet,PayPal,leejohn@example.net,,66fb6129-ed73-4930-bd87-cd9482d144d7,active,True,2024-07-03 09:32:03,,2025-10-22 09:32:03,41,6201.97,failed,AR,,,,,0,34.06
36,5829,credit_card,Visa,****6860,6860,6e21e611-4ebd-46f5-8e64-2e727f615bef,active,False,2024-12-12 09:32:03,04/30,2025-08-29 09:32:03,5,24127.79,verified,MX,"Watson, Bates and Phillips","065 Johnson Courts Apt. 991, Kathleenton, VT 71953",True,True,0,12.29
37,8723,credit_card,Mastercard,****7586,7586,0b7a639c-f4af-4533-adda-7e5f133ecb93,inactive,True,2024-12-04 09:32:03,10/26,2025-07-02 09:32:03,36,1669.78,verified,CO,"Obrien, Davis and Cole","0018 Fox Rue Suite 191, Deanstad, WV 83993",True,True,0,53.06
38,1892,credit_card,Diners Club,****2105,2105,f295c63d-b222-456e-af43-7d5d89fa3628,active,True,2025-08-17 09:32:03,11/26,2025-10-24 09:32:03,99,39208.71,verified,BR,"Smith, Mcdaniel and Skinner","84776 Mitchell Creek, East Jenniferburgh, MN 43798",False,True,0,50.26
39,6787,bank_transfer,PSE,****4146,4146,51c5c6aa-f948-4d04-92b3-415da35f5457,active,True,2024-11-04 09:32:03,,2025-10-05 09:32:03,86,22681.87,pending,BR,"Manning, Thompson and Novak",,,,0,17.58
40,7959,credit_card,Visa,****9142,9142,0a08ffcf-942e-4954-b38c-25f9f76868d6,active,False,2024-02-06 09:32:03,04/26,2025-09-12 09:32:03,53,41048.17,verified,AR,"Long, Peterson and White","PSC 5881, Box 6439, APO AE 45716",True,False,0,63.92
41,2848,debit_card,Mastercard Debit,****4939,4939,98ca1e60-bb6c-45f3-90d9-6cafc855fb34,active,False,2024-11-12 09:32:03,02/30,2025-09-28 09:32:03,129,33273.36,verified,BR,Carey-Harris,"0472 Thomas Neck Suite 026, Michaelburgh, KS 26432",True,True,0,98.0
42,5281,debit_card,Visa Debit,****4851,4851,3719e777-ea22-411f-8655-f01f156c5b56,active,False,2025-02-06 09:32:03,03/27,2025-08-28 09:32:03,161,49205.86,verified,PE,"Collins, Stokes and Hendrix","4341 Danielle Dam, Timothyland, OK 22712",True,True,0,67.0
43,6249,debit_card,Visa Debit,****2083,2083,6d09e518-4fae-4597-a5a1-a1831a179084,blocked,False,2024-05-13 09:32:03,08/26,2025-03-11 09:32:03,48,237.37,verified,BR,Harvey Ltd,"74895 Joseph Island Apt. 971, Sharonburgh, IN 69794",True,True,0,63.15
44,6613,debit_card,Mastercard Debit,****6936,6936,32d1265c-5ec7-48a7-8d6e-4cc981ee8e26,inactive,False,2024-12-08 09:32:03,08/30,2025-08-13 09:32:03,39,3241.5,verified,MX,Parker-Ruiz,"622 Raymond Garden Suite 848, Marissabury, AS 77419",True,False,0,94.05
45,61,ewallet,MercadoPago,kellianderson@example.net,,fe4d6c9d-c01c-4f90-9730-4c73be1c04ac,active,False,2025-03-26 09:32:03,,2025-08-30 09:32:03,68,23540.1,verified,MX,,,,,0,22.8
46,6292,credit_card,Mastercard,****4239,4239,71162d15-180e-48cf-89df-55f0033b6a81,active,False,2025-07-14 09:32:03,12/25,2025-10-15 09:32:03,168,36339.9,verified,MX,"Evans, Smith and Blanchard","89177 Williamson Canyon, Bookerhaven, FL 60129",True,True,0,27.86
47,4242,credit_card,Mastercard,****6104,6104,8db036d2-2061-4d47-a1ea-65f51671418e,active,True,2025-05-26 09:32:03,05/30,2025-09-27 09:32:03,130,7551.6,verified,MX,"Harding, Chang and Vargas","26200 Shelley Radial, South Darylfurt, NH 62138",True,True,0,34.89
48,6185,credit_card,Visa,****6684,6684,13fc16aa-00d8-4951-99e9-54886ffa23ff,active,True,2024-10-07 09:32:03,06/29,2025-08-27 09:32:03,191,32873.31,pending,BR,Jenkins Ltd,"0114 Brendan Center, West Kellyfort, SC 39938",True,True,0,11.49
49,4135,bank_transfer,Transferencia,****3268,3268,fe680124-3081-48cd-8d2a-ab959ee7bc8e,active,False,2024-10-25 09:32:03,,2025-09-01 09:32:03,106,13253.46,verified,CO,Bass-Johnson,,,,0,42.0
50,598,debit_card,Maestro,****3704,3704,c3ad8d12-c83b-4920-959d-d336acbbf193,active,False,2025-06-15 09:32:03,05/26,2025-08-30 09:32:03,199,13956.73,verified,CL,Schmidt-Miller,"907 Davis Unions Suite 620, East Micheleborough, AL 38720",True,True,0,19.47
51,8598,bank_transfer,Transferencia,****8393,8393,c35ba08a-aa63-42c5-b815-533107b0e3e6,active,False,2025-01-28 09:32:03,,,158,10635.56,verified,MX,"Mason, Parks and Dyer",,,,0,56.03
52,4213,credit_card,Mastercard,****6642,6642,3a90468d-c196-44f9-9980-fe623a35393c,active,True,2024-10-16 09:32:03,07/26,2025-08-29 09:32:03,74,30417.47,pending,MX,Griffith PLC,"7883 Decker Points, Lake James, MO 59496",True,False,0,1.07
53,5451,ewallet,Clip,ewright@example.net,,78a53a33-8cf1-45a1-98f6-d4004f07cf1b,active,False,2023-12-14 09:32:03,,2025-09-22 09:32:03,7,21166.28,pending,CO,,,,,0,26.2
54,3360,debit_card,Visa Debit,****1339,1339,c6838551-65d0-43ea-9d7b-0e0b50e795ca,expired,True,2025-10-06 09:32:03,04/25,2025-06-29 09:32:03,19,31.66,verified,BR,"Johnson, Hoffman and Tran","626 Jamie Roads, South Lisa, MS 10230",True,True,0,32.1
55,8148,credit_card,Visa,****5962,5962,edfb0966-5183-41da-8d6d-175dfdda34b1,active,False,2023-12-26 09:32:03,03/26,2025-10-24 09:32:03,95,46208.11,pending,BR,Johnson LLC,"836 Cynthia Flats, North Monicamouth, MS 44949",False,True,0,34.18
56,6701,debit_card,Mastercard Debit,****9507,9507,f1b05aee-d28c-4277-a066-e83da062d484,active,True,2025-10-23 09:32:03,09/28,2025-09-09 09:32:03,67,45596.72,verified,CO,Good and Sons,"7939 Kimberly Road, North Kenneth, MP 94336",True,True,0,22.7
57,8864,bank_transfer,PIX,****7349,7349,28750630-07ae-4d8d-8e5e-e27ce489f1ed,active,False,2025-10-20 09:32:03,,2025-10-18 09:32:03,27,9889.46,failed,CO,"Robbins, Williams and Garcia",,,,0,70.52
58,7980,debit_card,Visa Debit,****3464,3464,c22294ad-2d2a-4982-83cc-f3f402918604,active,False,2025-10-15 09:32:03,11/28,2025-10-13 09:32:03,189,2996.83,failed,CO,Brooks-Brown,"USS Bond, FPO AA 33629",True,False,0,65.12
59,1078,bank_transfer,Transferencia,****4285,4285,6058dd0a-c3ed-4ad3-baec-99c2a7e18b13,active,True,2024-06-02 09:32:03,,2025-10-11 09:32:03,37,12944.59,verified,BR,Hernandez-West,,,,0,91.66
60,3232,debit_card,Visa Debit,****6986,6986,1af2d80a-824e-4c85-be67-ce0d39fcad43,active,False,2024-12-10 09:32:03,03/26,2025-08-29 09:32:03,18,48672.05,verified,PE,Green Group,"48926 Rice Forge Apt. 583, Justinton, MI 02379",True,True,0,95.86
61,9860,credit_card,Diners Club,****8596,8596,9d6e9700-c0bd-482e-bef4-215f95cb3aa9,active,False,2024-02-02 09:32:03,07/29,2025-09-30 09:32:03,3,29024.34,pending,MX,"Gross, Collins and Holland","069 Franklin Drive, Warnermouth, VT 43641",True,True,0,0.98
62,7280,credit_card,Mastercard,****1179,1179,8db69d3f-367c-4ef9-82a4-d255a2b5dc75,active,False,2024-02-07 09:32:03,07/27,2025-10-16 09:32:03,85,44777.3,verified,BR,Parker PLC,"5997 Jenkins Station, Sullivanmouth, MD 67478",True,True,0,80.7
63,5153,bank_transfer,PSE,****2215,2215,df110c0e-8d79-4abf-a47b-9df782afd25d,inactive,False,2025-07-29 09:32:03,,2025-01-27 09:32:03,16,3680.9,verified,CO,"Smith, Winters and Carlson",,,,0,9.27
64,486,bank_transfer,SPEI,****2023,2023,fa5a9d4f-d600-4cf9-bca9-8e1743d11a84,active,False,2023-12-19 09:32:03,,2025-10-04 09:32:03,121,38905.7,verified,MX,Henry PLC,,,,0,69.34
65,8063,ewallet,PayPal,qlogan@example.net,,9b6c8b22-e133-49da-90c2-00fe08b84827,active,True,2024-08-23 09:32:03,,2025-09-22 09:32:03,73,15920.54,verified,BR,,,,,0,85.84
66,810,debit_card,Visa Debit,****3457,3457,24c74b55-38b5-4b42-a2b0-b4d5665fac7c,active,True,2024-01-04 09:32:03,03/28,2025-09-03 09:32:03,189,34518.64,verified,MX,Moore-Tapia,"232 Joseph Row, Claytonfurt, OH 33748",False,True,0,17.98
67,8287,debit_card,Visa Debit,****2679,2679,3c0e4a22-5e7d-4d24-a8bf-9d5ea0e60eaa,active,True,2024-09-22 09:32:03,10/30,2025-09-13 09:32:03,45,49131.47,verified,MX,Hays Group,"7033 Bethany Isle Apt. 981, Danabury, WY 74221",True,True,0,73.18
68,5417,debit_card,Mastercard Debit,****5181,5181,19ce61ab-489d-488f-8641-8836bae0ee9e,blocked,False,2025-08-04 09:32:03,11/29,2025-04-05 09:32:03,9,3236.48,verified,AR,Johnson PLC,"762 Thomas Fort Suite 845, Matthewside, PW 68070",True,False,3,80.81
69,1869,ewallet,MercadoPago,lonnie07@example.org,,b39473a0-de48-499a-972f-faed13c23e6a,active,False,2025-02-09 09:32:03,,2025-08-31 09:32:03,96,29358.18,verified,BR,,,,,0,39.63
70,3324,bank_transfer,PIX,****5864,5864,96eb0370-3e96-4742-8df9-99d20123def8,active,False,2025-08-02 09:32:03,,2025-08-28 09:32:03,175,6633.57,verified,MX,Smith-Nelson,,,,0,99.76
71,3757,debit_card,Mastercard Debit,****6257,6257,46f8171f-1bca-4c62-a9b2-ad28cd72ba5f,active,False,2025-10-06 09:32:03,08/26,2025-09-22 09:32:03,63,1832.45,pending,BR,Arellano and Sons,"8284 Andrew Canyon Suite 340, North Hannah, MO 44626",True,True,0,70.99
72,8726,debit_card,Visa Debit,****1754,1754,4f59f7b4-8c08-49fb-9173-50fc9b9d71e2,inactive,False,2024-03-11 09:32:03,04/26,2025-01-18 09:32:03,45,4337.4,verified,MX,"Davis, Adams and Hughes","2122 Schroeder Spring, North Lisamouth, SD 10034",True,False,0,45.97
73,8102,debit_card,Visa Debit,****9264,9264,c823ad16-f637-4b2f-821d-c63aa552a308,active,False,2024-04-30 09:32:03,07/30,2025-09-18 09:32:03,114,7576.16,verified,BR,Rose PLC,"36661 Wagner Heights Suite 215, Davidfort, AL 53233",True,False,0,32.63
74,3422,credit_card,Visa,****1991,1991,a1bce52f-15d2-4aa1-92ee-3aff6cfbf44c,inactive,False,2025-08-19 09:32:03,07/27,2025-03-30 09:32:03,29,1605.49,verified,MX,Bryant Group,"4370 White Courts Suite 676, Lake Mackenziefurt, IL 09205",True,True,0,55.73
75,4505,credit_card,Visa,****9639,9639,c17250ca-aeeb-4d6f-a0aa-1cfefbea671d,active,False,2024-11-04 09:32:03,02/29,2025-10-24 09:32:03,59,24462.1,verified,MX,"Long, Lewis and Taylor","USNS Rich, FPO AP 16568",True,True,0,48.58
76,8685,bank_transfer,TEF,****5112,5112,8885e29c-0723-4649-9fab-2de7d1f4dc00,active,False,2025-02-05 09:32:03,,2025-09-19 09:32:03,118,25845.23,pending,MX,Martin Ltd,,,,0,75.36
77,7036,bank_transfer,PSE,****8110,8110,b2026965-5114-4e76-9350-20bccdffc346,active,False,2025-09-18 09:32:03,,2025-09-13 09:32:03,36,6226.49,verified,MX,"Melton, Ball and Bennett",,,,0,44.06
78,9800,credit_card,Visa,****2826,2826,9249bd71-2010-44f4-a316-aedca9347bea,active,False,2024-06-12 09:32:03,03/26,2025-09-10 09:32:03,170,30955.5,verified,CO,Porter Ltd,"5831 Molina Wall Apt. 291, Brookechester, OH 02837",True,True,0,62.14
79,151,credit_card,American Express,****2241,2241,0be1f8d0-b2f3-4ea1-aeef-8a01ec5cf635,expired,False,2024-04-25 09:32:03,01/25,2025-04-22 09:32:03,29,3985.7,verified,MX,"Hansen, Robinson and Ramirez","143 Deborah Crossroad Apt. 862, Ashleyville, PW 93036",True,False,0,48.23
80,3789,credit_card,Mastercard,****7530,7530,67122e2a-f9a2-414f-ab7a-3825b6ba25bc,inactive,False,2024-05-27 09:32:03,09/26,2025-01-03 09:32:03,36,3266.19,verified,CO,"Murray, Jennings and Alvarado","583 Laura Village Apt. 359, New Julian, AR 38413",True,False,0,92.24
81,9723,bank_transfer,PIX,****5866,5866,b2119982-82c5-4e08-a230-8924649e91e7,active,False,2023-12-16 09:32:03,,2025-10-04 09:32:03,98,45552.25,verified,CO,Montgomery Ltd,,,,0,25.14
82,9241,ewallet,MercadoPago,tammy00@example.net,,678f9d65-7806-478a-b186-0895140b0fb9,inactive,False,2024-08-23 09:32:03,,2025-05-22 09:32:03,12,2345.29,verified,MX,,,,,0,6.64
83,5706,debit_card,Maestro,****5709,5709,3a7f1f30-6715-4c06-8027-ea31e0400b28,active,False,2024-04-17 09:32:03,09/29,2025-10-12 09:32:03,103,24690.58,verified,MX,Doyle Inc,"3153 Steven Island, East Adam, PW 47770",True,True,0,47.14
84,2209,credit_card,Mastercard,****1267,1267,cb0fa568-1831-4a16-8f75-5210294b3cb8,active,True,2025-01-07 09:32:03,10/27,2025-09-22 09:32:03,62,21903.0,verified,AR,Smith-Green,"779 Kendra Cliff Suite 741, Jasonfurt, MP 06128",True,True,0,4.19
85,9103,debit_card,Visa Debit,****4894,4894,54fe4b9f-b534-4d03-9aca-53489f42e9fc,active,False,2024-10-27 09:32:03,10/26,2025-09-11 09:32:03,90,22939.2,verified,CO,"Allen, Jones and Stone","6040 Melissa Burgs Apt. 945, Edwardfort, ME 79621",True,True,0,70.72
86,7498,ewallet,PayPal,adamfisher@example.org,,a0489737-726b-4552-8479-a1cc29d0379d,inactive,False,2025-08-31 09:32:03,,2025-03-06 09:32:03,31,1803.14,verified,MX,,,,,0,39.63
87,5831,bank_transfer,PIX,****5921,5921,6a1f9038-4a15-49a0-acde-00c1df220e2a,active,False,2024-02-21 09:32:03,,2025-09-14 09:32:03,108,6235.78,verified,MX,Thompson LLC,,,,0,67.53
88,4126,credit_card,Mastercard,****4526,4526,2314cbaf-59f7-4123-8247-145b501fe80b,active,False,2025-09-16 09:32:03,05/28,2025-10-08 09:32:03,53,41545.68,verified,CO,Mckinney-Thomas,"8528 John Pass Apt. 101, Melissaton, CA 27512",True,True,0,74.24
89,4006,credit_card,Visa,****8830,8830,19b28f76-3d78-47c2-8755-b4f8995846ec,inactive,False,2024-07-24 09:32:03,07/27,2025-06-16 09:32:03,1,3585.02,failed,PE,"Mitchell, Austin and Guzman","8983 Martinez Mall Apt. 177, Jessicabury, MT 05295",True,False,0,39.01
90,8393,bank_transfer,PSE,****6182,6182,cfafe15c-f49b-4b59-9436-9a6c1090d258,active,False,2025-10-22 09:32:03,,2025-08-28 09:32:03,129,6295.21,verified,CO,Torres-Cook,,,,0,57.05
91,6781,debit_card,Mastercard Debit,****7345,7345,0b7c9730-527d-4bd7-88fc-31d5dfb7ba68,active,False,2024-09-24 09:32:03,01/30,2025-08-27 09:32:03,49,48345.19,verified,BR,Mendoza-Berry,"29656 Vargas Port Suite 311, Petersonchester, WI 08519",True,False,0,12.65
92,6088,credit_card,Mastercard,****2768,2768,27a39dca-03dc-466c-8587-9ac4a6cbe148,active,False,2024-02-12 09:32:03,10/26,2025-10-21 09:32:03,46,16113.22,pending,MX,"Scott, Russell and Duncan","6752 Alison Terrace Suite 521, Shannonport, DC 56422",True,True,0,7.85
93,36,credit_card,Visa,****4649,4649,dcdcc66c-6917-4286-9bd4-e4d5ca4a6a54,active,False,2025-08-13 09:32:03,11/26,2025-10-04 09:32:03,3,23675.2,verified,PE,"Harrison, Parker and Howell","4749 Jensen Mission, Kimview, AZ 59448",True,True,0,97.32
94,3953,debit_card,Visa Debit,****5001,5001,2843eca8-e8ee-44d8-a72b-1a3fe6b6d2da,active,False,2024-01-26 09:32:03,01/28,2025-09-25 09:32:03,8,31608.24,verified,CO,"Anderson, Williamson and Brock","97505 James Dam Suite 725, West Nicole, AR 48492",True,True,0,62.56
95,5542,bank_transfer,PSE,****5352,5352,427c3e86-3f7d-47fa-a583-e2e29a2f3809,active,False,2025-06-12 09:32:03,,2025-10-06 09:32:03,62,15033.21,verified,CL,"Matthews, Mcgee and Stephens",,,,0,17.95
96,1892,debit_card,Visa Debit,****2285,2285,c56f6514-e795-4620-917e-ef44661cbb5d,active,False,2023-12-05 09:32:03,01/26,2025-10-15 09:32:03,86,36673.26,verified,MX,Powers-Brown,"423 Freeman Meadow Apt. 274, Laurenville, MP 35789",True,True,0,45.59
97,9190,bank_transfer,PIX,****7978,7978,ae700c95-9b74-4a4c-8322-65a95e8843eb,blocked,False,2024-01-18 09:32:03,,2025-01-03 09:32:03,14,2647.35,verified,BR,Herrera Group,,,,3,11.33
98,6457,bank_transfer,PIX,****7064,7064,2aa9caec-fd37-46a9-b545-9fc25400d2f3,active,True,2024-03-25 09:32:03,,2025-09-05 09:32:03,76,17821.53,verified,BR,Jensen PLC,,,,0,42.07
99,2568,ewallet,MercadoPago,osmith@example.org,,142908b8-f3d7-41be-920b-f77c693c990d,active,False,2024-02-27 09:32:03,,2025-10-05 09:32:03,54,47878.41,pending,BR,,,,,0,37.94
100,2392,credit_card,Visa,****8994,8994,3987448a-be8d-493d-b349-16857456e177,active,False,2025-08-19 09:32:03,09/30,2025-10-19 09:32:03,178,2414.13,verified,MX,"Rodriguez, Quinn and Bryant","398 Matthew Rapids Apt. 710, Kennethport, AR 22452",True,True,0,59.93
101,4537,credit_card,Mastercard,****6844,6844,caa87f58-281f-4d05-8bc1-23b046d1f8a1,inactive,False,2024-01-14 09:32:03,05/28,2025-08-01 09:32:03,38,2659.36,verified,BR,Franklin Group,"4756 Matthew Forges, Rebeccabury, FM 45808",True,True,0,46.42
102,1309,credit_card,Diners Club,****1639,1639,3e1b5278-45aa-4dca-adf3-c653fd8ca39f,expired,False,2025-07-24 09:32:03,02/25,,0,4937.35,verified,AR,Hinton Ltd,"Unit 6122 Box 6104, DPO AA 26785",True,True,0,90.71
103,5508,credit_card,Visa,****9597,9597,b07cbdb1-98ac-413a-9b3b-171c136b0fa8,active,False,2023-11-06 09:32:03,06/30,2025-09-01 09:32:03,165,23941.59,failed,CO,Bates PLC,"3798 John Valley Suite 006, East Matthewmouth, MD 35063",True,False,0,54.52
